baseline single-empty read: opens=1, bytes=394, parse=1
after single-empty read: opens=1, bytes=394, parse=1
after single-empty list: opens=1, bytes=394, parse=1
baseline single-empty list: opens=2, bytes=788, parse=2
baseline single-4k read: opens=1, bytes=5861, parse=1
after single-4k read: opens=1, bytes=5861, parse=1
after single-4k list: opens=1, bytes=5861, parse=1
baseline single-4k list: opens=2, bytes=11722, parse=2
baseline single-1m read: opens=1, bytes=1398504, parse=1
after single-1m read: opens=1, bytes=1398504, parse=1
after single-1m list: opens=1, bytes=1398504, parse=1
baseline single-1m list: opens=2, bytes=2797008, parse=2
baseline multi-mixed read: opens=1, bytes=1398504, parse=1
after multi-mixed read: opens=1, bytes=1398504, parse=1
after multi-mixed list: opens=8, bytes=2019794, parse=8
baseline multi-mixed list: opens=16, bytes=4039588, parse=16
Saved /home/shaneee/secumon-linux-test.pCJ0bd/runtime/evidence/C01-workspace-read-io/linux-paired-measurement.json
